HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.title,Input.poem_1,Input.poem_2,Answer.accurate1-1.yes,Answer.accurate1-2.no,Answer.accurate2-1.yes,Answer.accurate2-2.no,Answer.creative1.creative1,Answer.creative2.creative2,Retain%,Answer.submitcode,Approve,Reject
3XH7ZM9YY6FXW9GMOO25F953GAC9RR,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3Z3ZLGNNSNFDSQAZK2HX8QO19ZYQ31,AONSG5WOC3OX0,Approved,Sat May 14 12:20:23 PDT 2022,Sat May 14 12:22:58 PDT 2022,Tue May 17 12:22:58 PDT 2022,Sat May 14 12:34:05 PDT 2022,,,155,100% (75/75),100% (32/32),100% (32/32),Adrift,A cloud of memory flows across the horizon.<br />The sailor's mate; when the seas tighten.<br />I'll find my way back to my native shore.<br />Then sigh no more.,"At thirty two I had no vision<br />No real hopes, apathetic indecision<br />Every day was like being on a boat<br />With no direction all I do is float",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,100,Provides more imagery,,
3IYI9285XWLIWJ4CS33NF8KKCELJCQ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,337RC3OW0ANMD2W5C7F7AZHQQD4VLE,A1HSSY8JC7RGZZ,Approved,Sat May 14 11:20:31 PDT 2022,Sat May 14 11:38:51 PDT 2022,Tue May 17 11:38:51 PDT 2022,Sat May 14 11:40:43 PDT 2022,,,1100,100% (1/1),100% (1/1),100% (1/1),Another Day,"The world has not yet awakened.<br />Darkness still creeps, but the day is not far.<br />Oh wait! there's the sun, and thus a solitary regret.<br />I still can't believe I haven't been to bed yet.",Today is just another day<br />There is so much I want to say<br />but my words have little sway<br />so instead I just pray,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12.5,i like it poem 2. this is motivate line,,
3IYI9285XWLIWJ4CS33NF8KKCELJCQ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3R0T90IZ1XXAS1C4AZNM7FOT9PZGCR,AD1ILDUXZHASF,Approved,Sat May 14 11:01:03 PDT 2022,Sat May 14 11:01:37 PDT 2022,Tue May 17 11:01:37 PDT 2022,Sat May 14 11:40:44 PDT 2022,,,34,100% (35/35),100% (9/9),100% (9/9),Another Day,"The world has not yet awakened.<br />Darkness still creeps, but the day is not far.<br />Oh wait! there's the sun, and thus a solitary regret.<br />I still can't believe I haven't been to bed yet.",Today is just another day<br />There is so much I want to say<br />but my words have little sway<br />so instead I just pray,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,12.5,It fits the title more and works the best.,,
3IYI9285XWLIWJ4CS33NF8KKCELJCQ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3PW9OPU9PV50Q4UZVNDDOFB1V9Y21Z,AONSG5WOC3OX0,Approved,Sat May 14 10:26:56 PDT 2022,Sat May 14 10:29:52 PDT 2022,Tue May 17 10:29:52 PDT 2022,Sat May 14 10:34:19 PDT 2022,,,176,100% (75/75),100% (32/32),100% (32/32),Another Day,"The world has not yet awakened.<br />Darkness still creeps, but the day is not far.<br />Oh wait! there's the sun, and thus a solitary regret.<br />I still can't believe I haven't been to bed yet.",Today is just another day<br />There is so much I want to say<br />but my words have little sway<br />so instead I just pray,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,12.5,Short and simple yet very fluid as a poem.,,
3SBNLSTU7YQI1QFUAL1KN8QSGC9ZDQ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3ZR9AIQJUGUAMTO43IS13PPPAVT40Z,A18T7E73TNGOKP,Approved,Sat May 14 10:58:07 PDT 2022,Sat May 14 11:44:55 PDT 2022,Tue May 17 11:44:55 PDT 2022,Sat May 14 11:56:13 PDT 2022,,,2808,100% (26/26),100% (8/8),100% (8/8),Breathless,"The storm grew fiercer and fierce.<br />As we escaped, we screamed.<br />Fear is a stumbling block.<br />And it's getting harder to breathe.<br />Then all the world was dead.<br />Before I could say a peep<br />With black birds swarming around our heads.<br />We were lost in the deep. ",He left me breathless<br />I felt like a mess<br />Trying to figure out my feelings gave me stress<br />I did want to eventually confess,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,37.5,Poem 2 does not explain it very well,,
3SBNLSTU7YQI1QFUAL1KN8QSGC9ZDQ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,35GCEFQ6IA9M6IBQ7Y0AZJ05E29Z3U,A20N1NK5X5S88F,Approved,Sat May 14 10:19:27 PDT 2022,Sat May 14 10:59:51 PDT 2022,Tue May 17 10:59:51 PDT 2022,Sat May 14 11:40:45 PDT 2022,,,2424,100% (2/2),100% (1/1),100% (1/1),Breathless,"The storm grew fiercer and fierce.<br />As we escaped, we screamed.<br />Fear is a stumbling block.<br />And it's getting harder to breathe.<br />Then all the world was dead.<br />Before I could say a peep<br />With black birds swarming around our heads.<br />We were lost in the deep. ",He left me breathless<br />I felt like a mess<br />Trying to figure out my feelings gave me stress<br />I did want to eventually confess,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,37.5,"it has a much more professional structure, symmetry and flow.",,
3SBNLSTU7YQI1QFUAL1KN8QSGC9ZDQ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,378XPAWRUHY0VDL1G9RYMWBLOZ7IAK,A3G5OWGKHW6OL5,Approved,Sat May 14 12:08:53 PDT 2022,Sat May 14 12:14:05 PDT 2022,Tue May 17 12:14:05 PDT 2022,Sat May 14 12:34:05 PDT 2022,,,312,100% (43/43),100% (20/20),100% (20/20),Breathless,"The storm grew fiercer and fierce.<br />As we escaped, we screamed.<br />Fear is a stumbling block.<br />And it's getting harder to breathe.<br />Then all the world was dead.<br />Before I could say a peep<br />With black birds swarming around our heads.<br />We were lost in the deep. ",He left me breathless<br />I felt like a mess<br />Trying to figure out my feelings gave me stress<br />I did want to eventually confess,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,37.5,Only one that is slightly relevant.,,
3P4C70TRNV218L8HXABJLEIREVIGLZ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3A4TN5196P3OSX7FU554SF0UOPOCHY,A2IC4IMH7G9UKU,Approved,Sat May 14 12:21:57 PDT 2022,Sat May 14 12:29:26 PDT 2022,Tue May 17 12:29:26 PDT 2022,Sat May 14 12:34:04 PDT 2022,,,449,100% (1/1),100% (1/1),100% (1/1),Captors,There once was a man who was abducted.<br />They covered his head in a bucket.<br />The man was confused and didn't know what to do.<br />So he dashed and caused a ruckus.,"The war has ended, leaving deaths and sorrows;<br />He crawls on the ground, escaping from being captured;<br />Dreaded and painful, freedom is the only hope he has;<br />""No, No, No,"" the captor says, there's nothing left to you.",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,The second doesn't really rhyme. The first poem flows really well.,,
3P4C70TRNV218L8HXABJLEIREVIGLZ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3H8DHMCCWEWPZFE10M3CPDY416LKDR,A3G5OWGKHW6OL5,Approved,Sat May 14 11:19:45 PDT 2022,Sat May 14 11:54:04 PDT 2022,Tue May 17 11:54:04 PDT 2022,Sat May 14 11:56:12 PDT 2022,,,2059,100% (43/43),100% (20/20),100% (20/20),Captors,There once was a man who was abducted.<br />They covered his head in a bucket.<br />The man was confused and didn't know what to do.<br />So he dashed and caused a ruckus.,"The war has ended, leaving deaths and sorrows;<br />He crawls on the ground, escaping from being captured;<br />Dreaded and painful, freedom is the only hope he has;<br />""No, No, No,"" the captor says, there's nothing left to you.",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0,More believable setting.,,
3P4C70TRNV218L8HXABJLEIREVIGLZ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3RXCAC0YIWA8GYMRTN7H5TSAJYN8GM,A3PXU2ZLEL8WRW,Approved,Sat May 14 12:04:03 PDT 2022,Sat May 14 12:09:08 PDT 2022,Tue May 17 12:09:08 PDT 2022,Sat May 14 12:34:05 PDT 2022,,,305,100% (3/3),100% (3/3),100% (3/3),Captors,There once was a man who was abducted.<br />They covered his head in a bucket.<br />The man was confused and didn't know what to do.<br />So he dashed and caused a ruckus.,"The war has ended, leaving deaths and sorrows;<br />He crawls on the ground, escaping from being captured;<br />Dreaded and painful, freedom is the only hope he has;<br />""No, No, No,"" the captor says, there's nothing left to you.",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,the gramma is prefect and its interesting,,
3MYASTQBHBW9NYE3NPI7WFEOB9PDQB,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,33PPUNGG3DQEPKWSIO16HH3LKGQZRZ,A2BT7QVGXJKFKI,Approved,Sat May 14 10:26:56 PDT 2022,Sat May 14 10:29:11 PDT 2022,Tue May 17 10:29:11 PDT 2022,Sat May 14 10:34:20 PDT 2022,,,135,100% (1/1),100% (1/1),100% (1/1),Climate Change,"Mother earth could get no rest.<br />Inspite of always trying her best.<br />It was because her heart was shattered.<br />As planet earth, smothered by the weight, lies bare and tattered.",Climate change is caused by us<br />Now the world is making a fuss<br />We acted a bit sus<br />and now this happened because of us,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,55,"descriptive, vivid language",,
3MYASTQBHBW9NYE3NPI7WFEOB9PDQB,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3QBD8R3Z264VPAGN53UCTQL78YCO4C,A3T9WZOUQGE2UW,Approved,Sat May 14 11:20:30 PDT 2022,Sat May 14 11:39:07 PDT 2022,Tue May 17 11:39:07 PDT 2022,Sat May 14 11:40:44 PDT 2022,,,1117,100% (4/4),100% (1/1),100% (1/1),Climate Change,"Mother earth could get no rest.<br />Inspite of always trying her best.<br />It was because her heart was shattered.<br />As planet earth, smothered by the weight, lies bare and tattered.",Climate change is caused by us<br />Now the world is making a fuss<br />We acted a bit sus<br />and now this happened because of us,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,55,"It implies that climate change is caused by humans, ""us"".",,
3MYASTQBHBW9NYE3NPI7WFEOB9PDQB,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,33IZTU6J86M1L4WQWVDQA6S6YIESXM,AONSG5WOC3OX0,Approved,Sat May 14 10:45:16 PDT 2022,Sat May 14 10:55:00 PDT 2022,Tue May 17 10:55:00 PDT 2022,Sat May 14 11:00:18 PDT 2022,,,584,100% (75/75),100% (32/32),100% (32/32),Climate Change,"Mother earth could get no rest.<br />Inspite of always trying her best.<br />It was because her heart was shattered.<br />As planet earth, smothered by the weight, lies bare and tattered.",Climate change is caused by us<br />Now the world is making a fuss<br />We acted a bit sus<br />and now this happened because of us,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,55,It more descriptive,,
3XD2A6FGGRF9XOGZ3D2A5JAZ2CV9SF,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3AAPLD8UCH25EE9QGR0UHP0YCB5THF,A18T7E73TNGOKP,Approved,Sat May 14 11:20:09 PDT 2022,Sat May 14 11:54:58 PDT 2022,Tue May 17 11:54:58 PDT 2022,Sat May 14 11:56:13 PDT 2022,,,2089,100% (26/26),100% (8/8),100% (8/8),Decadence,"The cake is like a cloud of joy.<br />The frosting is like a rainbow.<br />One slice is heaven on Earth,<br />A flowing chocolate volcano.","Open up Instagram and you will see all of the pleasures you'll ever need<br />Photos of food, cars, and female models<br />All competing for likes and comments<br />Social connection broken down, with many indulgences all around",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,70,I think IG is a better representative than cake for decadence,,
